time,reference[0],output_ideal[0],output_secure[0],control_ideal[0],control_secure[0],control_error[0],output_error[0]
0,0,100,100,-501.071167,-501.07116699999995,-5.6843418860808015e-14,0
0.10000000000000001,0,94.774029631766126,94.774029631766126,-201.19606628881638,-201.19606628881641,2.8421709430404007e-14,0
0.20000000000000001,0,75.551949088752551,75.551949088752551,-142.03424614149387,-142.03424614149398,1.1368683772161603e-13,0
0.30000000000000004,0,53.760821517315186,53.760821517315186,-107.11130792276157,-107.11130792276165,8.5265128291212022e-14,0
0.40000000000000002,0,34.328761372614238,34.328761372614231,-86.647636602346338,-86.647636602346566,2.2737367544323206e-13,7.1054273576010019e-15
0.5,0,18.31475332562491,18.314753325624903,-71.874711152162931,-71.874711152163087,1.5631940186722204e-13,7.1054273576010019e-15
0.60000000000000009,0,5.5912036190394803,5.5912036190394607,-59.79395240727915,-59.793952407279271,1.2079226507921703e-13,1.9539925233402755e-14
0.70000000000000007,0,-4.2805183088079994,-4.2805183088080296,-49.337797844959468,-49.337797844959553,8.5265128291212022e-14,3.0198066269804258e-14
0.80000000000000004,0,-11.760977846390915,-11.760977846390956,-40.150893041248629,-40.1508930412488,1.7053025658242404e-13,4.0856207306205761e-14
0.90000000000000002,0,-17.257945117456615,-17.257945117456661,-32.102224749504089,-32.102224749504096,7.1054273576010019e-15,4.6185277824406512e-14
1,0,-21.118482754520013,-21.118482754520066,-25.115226093330875,-25.115226093330811,-6.3948846218409017e-14,5.3290705182007514e-14
1.1000000000000001,0,-23.637236758622787,-23.637236758622841,-19.116643087046867,-19.11664308704686,-7.1054273576010019e-15,5.3290705182007514e-14
1.2000000000000002,0,-25.065774048606215,-25.065774048606258,-14.026310672728158,-14.026310672728131,-2.6645352591003757e-14,4.2632564145606011e-14
1.3,0,-25.619741796815884,-25.619741796815926,-9.7588132432478574,-9.7588132432478716,1.4210854715202004e-14,4.2632564145606011e-14
1.4000000000000001,0,-25.483986078354057,-25.4839860783541,-6.2272751439693081,-6.2272751439693126,4.4408920985006262e-15,4.2632564145606011e-14
1.5,0,-24.816348788014018,-24.816348788014061,-3.3465528340252177,-3.3465528340251725,-4.5297099404706387e-14,4.2632564145606011e-14
1.6000000000000001,0,-23.750714364482143,-23.750714364482178,-1.0353989161843771,-1.0353989161843389,-3.8191672047105385e-14,3.5527136788005009e-14
1.7000000000000002,0,-22.399643042903101,-22.399643042903129,0.78222289800304168,0.7822228980030953,-5.3623772089395061e-14,2.8421709430404007e-14
1.8,0,-20.856758111677465,-20.856758111677493,2.1764180608023196,2.176418060802408,-8.8373752760162461e-14,2.8421709430404007e-14
1.9000000000000001,0,-19.198958055486894,-19.198958055486916,3.2110390196571075,3.2110390196571874,-7.9936057773011271e-14,2.1316282072803006e-14
2,0,-17.488477004224698,-17.488477004224713,3.9436277462789207,3.9436277462790073,-8.659739592076221e-14,1.4210854715202004e-14
2.1000000000000001,0,-15.774797066870983,-15.774797066870988,4.425536783616792,4.4255367836168453,-5.3290705182007514e-14,5.3290705182007514e-15
2.2000000000000002,0,-14.096410057068761,-14.096410057068759,4.7021718578651246,4.7021718578652054,-8.0824236192711396e-14,-1.7763568394002505e-15
2.3000000000000003,0,-12.48242614242792,-12.482426142427915,4.8133166663426863,4.8133166663427751,-8.8817841970012523e-14,-5.3290705182007514e-15
2.4000000000000004,0,-10.954029222652938,-10.954029222652926,4.7935112028614881,4.7935112028615308,-4.2632564145606011e-14,-1.2434497875801753e-14
2.5,0,-9.5257815911014614,-9.5257815911014401,4.672461974096656,4.6724619740966888,-3.2862601528904634e-14,-2.1316282072803006e-14
2.6000000000000001,0,-8.2067829284983773,-8.2067829284983542,4.4754673881154687,4.4754673881155114,-4.2632564145606011e-14,-2.3092638912203256e-14
2.7000000000000002,0,-7.0016906696545744,-7.0016906696545478,4.2238453358212666,4.2238453358212933,-2.6645352591003757e-14,-2.6645352591003757e-14
2.8000000000000003,0,-5.9116102383583549,-5.9116102383583256,3.9353529747218303,3.9353529747218499,-1.9539925233402755e-14,-2.9309887850104133e-14
2.9000000000000004,0,-4.9348646090833048,-4.9348646090832755,3.6245911807605573,3.6245911807605733,-1.5987211554602254e-14,-2.9309887850104133e-14
3,0,-4.0676532000744636,-4.0676532000744325,3.3033881737355202,3.3033881737355228,-2.6645352591003757e-15,-3.1086244689504383e-14
3.1000000000000001,0,-3.3046103069735815,-3.3046103069735517,2.9811585143467507,2.9811585143467605,-9.7699626167013776e-15,-2.9753977059954195e-14
3.2000000000000002,0,-2.639273219805752,-2.639273219805724,2.6652350647423138,2.6652350647423262,-1.2434497875801753e-14,-2.7977620220553945e-14
3.3000000000000003,0,-2.0644698906744452,-2.0644698906744181,2.3611726386206815,2.3611726386206846,-3.1086244689504383e-15,-2.708944180085382e-14
3.4000000000000004,0,-1.5726355878002221,-1.5726355878001967,2.073022975503708,2.0730229755037164,-8.4376949871511897e-15,-2.5313084961453569e-14
3.5,0,-1.1560674281416787,-1.1560674281416552,1.8035813873817754,1.8035813873817752,2.2204460492503131e-16,-2.3536728122053319e-14
3.6000000000000001,0,-0.80712506277909868,-0.80712506277907636,1.5546059724305796,1.5546059724305803,-6.6613381477509392e-16,-2.2315482794965646e-14
3.7000000000000002,0,-0.51838512688276017,-0.51838512688273952,1.3270106951855989,1.3270106951856102,-1.1324274851176597e-14,-2.0650148258027912e-14
3.8000000000000003,0,-0.28275638395742347,-0.28275638395740443,1.1210339181850935,1.1210339181850961,-2.6645352591003757e-15,-1.9040324872321435e-14
3.9000000000000004,0,-0.093561811621336283,-0.093561811621318464,0.93638415695477906,0.93638415695476629,1.27675647831893e-14,-1.7819079545233762e-14
4,0,0.055406791440500057,0.055406791440516516,0.77236493625204861,0.77236493625204194,6.6613381477509392e-15,-1.6459056340067946e-14
4.1000000000000005,0,0.16985673910452539,0.16985673910454019,0.62798066643675754,0.62798066643676531,-7.7715611723760958e-15,-1.4793721803130211e-14
4.2000000000000002,0,0.25498060066738104,0.25498060066739425,0.50202544833304064,0.50202544833302964,1.099120794378905e-14,-1.3211653993039363e-14
4.2999999999999998,0,0.31545678830840801,0.31545678830841983,0.39315666472401034,0.39315666472400357,6.7723604502134549e-15,-1.1823875212257917e-14
4.4000000000000004,0,0.35546134756910552,0.35546134756911585,0.29995513666249796,0.29995513666250129,-3.3306690738754696e-15,-1.0325074129013956e-14
4.5,0,0.37868818685279165,0.37868818685280059,0.2209735214957671,0.22097352149575172,1.5376588891058418e-14,-8.9372953482325102e-15
4.6000000000000005,0,0.38837541371837753,0.38837541371838535,0.15477451388962704,0.15477451388962546,1.5820678100908481e-15,-7.8270723236073536e-15
4.7000000000000002,0,0.3873358324168007,0.38733583241680719,0.099960286948795662,0.099960286948798854,-3.1918911957973251e-15,-6.4948046940571658e-15
4.8000000000000007,0,0.37799000025302409,0.37799000025302953,0.055194482419983482,0.055194482419982739,7.4246164771807344e-16,-5.440092820663267e-15
4.9000000000000004,0,0.36240054211842587,0.36240054211843042,0.019217930633225633,0.019217930633225265,3.677613769070831e-16,-4.5519144009631418e-15
5,0,0.34230668552321725,0.3423066855232213,-0.0091408448369127981,-0.0091408448369279475,1.5149340115705456e-14,-4.0523140398818214e-15
