time,reference[0],reference[1],output_ideal[0],output_ideal[1],output_secure[0],output_secure[1],control_ideal[0],control_ideal[1],control_secure[0],control_secure[1],control_error[0],control_error[1],output_error[0],output_error[1]
0,0,0,5,5,5,5,0,0,0,0,0,0,0,0
0.5,0,0,5.0634338034667685,5.0548347058967966,5.0634338034667685,5.0548347058967966,-3.8117550026606617,-4.0189319049274381,-3.8117550033593162,-4.0189319044983307,6.9865446761241401e-10,-4.291074162665609e-10,0,0
1,0,0,5.0447124218681108,5.0448223295488175,5.0447124218536805,5.0448223295554921,-6.0059239248732466,-6.3474033592085473,-6.005923925705571,-6.3474033585740157,8.3232443159886316e-10,-6.3453153842374377e-10,1.4430234784867935e-11,-6.6746608240464411e-12
1.5,0,0,4.977292752648788,4.9964335701083309,4.9772927526174024,4.9964335701247622,-7.2190097378327804,-7.6502825221004711,-7.2190097387366441,-7.650282521457374,9.0386365059202944e-10,-6.4309713110333178e-10,3.1385560816943325e-11,-1.6431300764452317e-11
2,0,0,4.8815212860905639,4.9257543311562433,4.8815212860410284,4.9257543311824028,-7.8383683825464896,-8.3322970082790029,-7.8383683830915789,-8.3322970073422749,5.4508930702468206e-10,-9.3672802847777348e-10,4.9535486823515384e-11,-2.6159518995427788e-11
2.5,0,0,4.7697638976520311,4.8425481039635514,4.7697638975921137,4.8425481040038951,-8.0997014892974928,-8.6397747821280841,-8.0997014894067281,-8.6397747808697165,1.09235287482079e-10,-1.2583676323174586e-09,5.9917404371390148e-11,-4.0343728358038788e-11
3,0,0,4.6495283704678556,4.7527295895429855,4.6495283704069355,4.7527295896024357,-8.1464000891186323,-8.7225956133129063,-8.1464000887927366,-8.722595611749691,-3.2589575482688815e-10,-1.5632153349542932e-09,6.092015780723159e-11,-5.9450222522627882e-11
3.5,0,0,4.5253651039704765,4.659870895471518,4.5253651039179141,4.6598708955547634,-8.0656670763861307,-8.6719141418521506,-8.0656670756850897,-8.6719141399288944,-7.0104100302614825e-10,-1.923256220948133e-09,5.2562398877853411e-11,-8.3245410564813938e-11
4,0,0,4.4000241100023807,4.5661186506614744,4.4000241099662931,4.5661186507740927,-7.9105049269142045,-8.5431299110285437,-7.9105049256150934,-8.543129908656601,-1.2991110409643625e-09,-2.3719426422985634e-09,3.6087577370835788e-11,-1.1261835908271678e-10
4.5,0,0,4.2751593133491408,4.4727524183493834,4.2751593133422929,4.4727524184983718,-7.713099613417187,-8.36987405774493,-7.7130996115466512,-8.3698740548555897,-1.8705357263115729e-09,-2.889340322553835e-09,6.8478556158879655e-12,-1.4898837719101721e-10
