time,reference[0],reference[1],output_ideal[0],output_ideal[1],output_secure[0],output_secure[1],control_ideal[0],control_ideal[1],control_secure[0],control_secure[1],control_error[0],control_error[1],output_error[0],output_error[1]
0,0,0,5,5,5,5,0,0,0,0,0,0,0,0
0.5,0,0,5.0634338034667685,5.0548347058967966,5.0634338034667685,5.0548347058967966,-3.8117550026606617,-4.0189319049274381,-3.8117550026620712,-4.0189319049305414,1.4095391520640987e-12,3.1032953984322376e-12,0,0
1,0,0,5.0447124218681108,5.0448223295488175,5.0447124218680806,5.0448223295487686,-6.0059239248732466,-6.3474033592085473,-6.0059239248744838,-6.347403359214244,1.2372325386422744e-12,5.6967763839566032e-12,3.0198066269804258e-14,4.8849813083506888e-14
1.5,0,0,4.977292752648788,4.9964335701083309,4.9772927526487312,4.9964335701081923,-7.2190097378327804,-7.6502825221004711,-7.2190097378335158,-7.6502825221077124,7.3541173151170369e-13,7.241318655815121e-12,5.6843418860808015e-14,1.3855583347321954e-13
2,0,0,4.8815212860905639,4.9257543311562433,4.8815212860904893,4.9257543311559928,-7.8383683825464896,-8.3322970082790029,-7.8383683825462418,-8.3322970082871173,-2.4780177909633494e-13,8.1143980423803441e-12,7.460698725481052e-14,2.5046631435543532e-13
2.5,0,0,4.7697638976520311,4.8425481039635514,4.7697638976519556,4.8425481039631748,-8.0997014892974928,-8.6397747821280841,-8.0997014892966313,-8.6397747821376907,-8.6153306710912148e-13,9.6065377874765545e-12,7.5495165674510645e-14,3.765876499528531e-13
3,0,0,4.6495283704678556,4.7527295895429855,4.6495283704677925,4.7527295895424606,-8.1464000891186323,-8.7225956133129063,-8.1464000891175825,-8.7225956133229499,-1.049826892085548e-12,1.0043521569969016e-11,6.3060667798708891e-14,5.2491344604277401e-13
3.5,0,0,4.5253651039704765,4.659870895471518,4.5253651039704268,4.6598708954708385,-8.0656670763861307,-8.6719141418521506,-8.0656670763850897,-8.6719141418621355,-1.0409451078885468e-12,9.9849017942688079e-12,4.9737991503207013e-14,6.794564910705958e-13
4,0,0,4.4000241100023807,4.5661186506614744,4.4000241100023416,4.5661186506606422,-7.9105049269142045,-8.5431299110285437,-7.9105049269126546,-8.5431299110388217,-1.5498713423767185e-12,1.0278000672769849e-11,3.907985046680551e-14,8.3222317925901734e-13
4.5,0,0,4.2751593133491408,4.4727524183493834,4.2751593133491195,4.4727524183483958,-7.713099613417187,-8.36987405774493,-7.7130996134152854,-8.3698740577553306,-1.9015899965779681e-12,1.0400569294688466e-11,2.1316282072803006e-14,9.8765440270653926e-13
5,0,0,4.1517572967190208,4.3805246901591133,4.1517572967190226,4.3805246901579693,-7.492967394800969,-8.172525912040502,-7.4929673947999405,-8.1725259120513289,-1.028510610012745e-12,1.0826894936144527e-11,-1.7763568394002505e-15,1.1439738045737613e-12
5.5,0,0,4.0303983141642616,4.2898678820769467,4.0303983141642661,4.2898678820756393,-7.2619137706616899,-7.9633987781786928,-7.2619137706608763,-7.9633987781894975,-8.1357143244531471e-13,1.0804690475652023e-11,-4.4408920985006262e-15,1.3073986337985843e-12
6,0,0,3.9114152047779154,4.2010203466549116,3.9114152047779167,4.2010203466534435,-7.0270520020089453,-7.7498975328240949,-7.0270520020079648,-7.749897532834729,-9.8054897534893826e-13,1.0634160219069599e-11,-1.3322676295501878e-15,1.468158927764307e-12
6.5,0,0,3.7949901564356567,4.1141030738959747,3.7949901564356558,4.1141030738943485,-6.7926404897174146,-7.5364412348796224,-6.7926404897167689,-7.5364412348906118,-6.4570571112199104e-13,1.0989431586949649e-11,8.8817841970012523e-16,1.6262546864709293e-12
7,0,0,3.6812136368608517,4.029166366730105,3.6812136368608397,4.0291663667283171,-6.561201190628946,-7.3256337351948142,-6.5612011906284069,-7.3256337352055247,-5.3912430075797602e-13,1.071054356316381e-11,1.1990408665951691e-14,1.7879031588563521e-12
7.5,0,0,3.5701202939011543,3.9462182345897654,3.5701202939011263,3.9462182345878203,-6.3342003998064067,-7.1189763849676853,-6.3342003998064307,-7.1189763849787839,2.3980817331903381e-14,1.1098677532572765e-11,2.7977620220553945e-14,1.9451107391432743e-12
8,0,0,3.4617108349494901,3.8652416558841467,3.4617108349494332,3.8652416558820395,-6.1124631434140451,-6.9173019240273232,-6.1124631434144385,-6.9173019240382247,3.9346303992715548e-13,1.0901501923399337e-11,5.6843418860808015e-14,2.1072033007385471e-12
8.5,0,0,3.3559653699145149,3.7862050635852564,3.3559653699144185,3.7862050635829907,-5.8964254186868477,-6.7210385941873989,-5.8964254186877376,-6.7210385941979949,8.8995477653952548e-13,1.0595968547022494e-11,9.6367358537463588e-14,2.2657431486550195e-12
9,0,0,3.2528515561760498,3.7090687052461688,3.2528515561759019,3.7090687052437503,-5.6862877297507195,-6.5303708768707276,-5.6862877297513181,-6.5303708768808963,5.9863225487788441e-13,1.0168754727146734e-11,1.4788170688007085e-13,2.418509836843441e-12
9.5,0,0,3.1523295777187892,3.6337884918496033,3.1523295777185947,3.6337884918470396,-5.4821085406240071,-6.3453372864095279,-5.4821085406249868,-6.3453372864199231,9.7966079692923813e-13,1.0395240224170266e-11,1.9451107391432743e-13,2.5637270084644115e-12
10,0,0,3.0543551955315666,3.5603183184850535,3.0543551955313166,3.5603183184823415,-5.2838611542951313,-6.1658898382387042,-5.2838611542970497,-6.1658898382490053,1.9184653865522705e-12,1.0301093311682052e-11,2.5002222514558525e-13,2.7120528045543324e-12
10.5,0,0,2.9588816223786738,3.4886114553828333,2.9588816223783474,3.4886114553799752,-5.0914683278414534,-5.9919301829178933,-5.091468327844483,-5.9919301829278862,3.0295765895971272e-12,9.992895400046109e-12,3.2640556923979602e-13,2.858158154595003e-12
11,0,0,2.8658606804488911,3.4186213737239739,2.8658606804484639,3.418621373720975,-4.9048233341690661,-5.8233315341115617,-4.9048233341729004,-5.8233315341217411,3.8342662378454406e-12,1.0179412868183135e-11,4.2721381987576024e-13,2.9989344341174728e-12
11.5,0,0,2.7752435210615016,3.3503022280927084,2.7752435210609558,3.350302228089566,-4.7238027726064846,-5.6599519487056789,-4.723802772610278,-5.65995194871598,3.7934100305392349e-12,1.0301093311682052e-11,5.4578563890572696e-13,3.1423752488990431e-12
12,0,0,2.6869810764491691,3.2836091306369983,2.6869810764485051,3.2836091306337112,-4.5482743559215004,-5.5016423434438835,-4.5482743559253329,-5.5016423434547503,3.8324898810060404e-12,1.0866862965031032e-11,6.6391336872584361e-13,3.2871483313101635e-12
12.5,0,0,2.6010243471885506,3.2184982991489943,2.6010243471877668,3.2184982991455535,-4.3781016384785847,-5.3482513088107178,-4.378101638482077,-5.3482513088218573,3.4923175462608924e-12,1.1139533739878971e-11,7.8381745538536052e-13,3.4408031979182852e-12
13,0,0,2.5173245883982132,3.1549271290951233,2.5173245883973161,3.1549271290915253,-4.2131468815514799,-5.1996279748977141,-4.2131468815552715,-5.1996279749086209,3.7916336736998346e-12,1.0906830993917538e-11,8.9706020389712648e-13,3.5980107782052073e-12
13.5,0,0,2.4358334331969869,3.0928542200304374,2.4358334331959695,3.0928542200266862,-4.0532727838914315,-5.0556236932095455,-4.0532727838951841,-5.0556236932206398,3.7525538232330291e-12,1.1094236640474264e-11,1.0174083797664935e-12,3.7512215556034789e-12
14,0,0,2.356502976922076,3.0322393749012839,2.3565029769209382,3.0322393748973764,-3.8983435208271215,-4.9160929995270353,-3.8983435208313391,-4.9160929995375273,4.2175152259460447e-12,1.0492051671917579e-11,1.1377565556358604e-12,3.907540957470701e-12
14.5,0,0,2.2792858364760251,2.9730435834767817,2.2792858364747564,2.9730435834727285,-3.7482253617950194,-4.7808941409774937,-3.7482253617990771,-4.7808941409880523,4.0576431104000221e-12,1.0558665053395089e-11,1.2687628725416289e-12,4.0532022183015215e-12
15,0,0,2.2041351936106115,2.9152289967278096,2.2041351936092148,2.9152289967236102,-3.6027870306593615,-4.6498893396627983,-3.6027870306636238,-4.649889339673055,4.262368236140901e-12,1.0256684390697046e-11,1.3966605649784469e-12,4.1993075683421921e-12
15.5,0,0,2.13100482756753,2.8587588962807731,2.1310048275660001,2.8587588962764321,-3.4618999089346412,-4.5229448977299009,-3.4618999089394213,-4.5229448977400297,4.780176254826074e-12,1.0128786698260228e-11,1.5298873279334657e-12,4.3409720262843621e-12
16,0,0,2.0598491404301971,2.8035976614355995,2.0598491404285237,2.8035976614311191,-3.3254381429124704,-4.399931207689499,-3.3254381429173341,-4.3999312077000292,4.8636650262778858e-12,1.0530243343964685e-11,1.6733281427150359e-12,4.4804160381772817e-12
16.5,0,0,1.9906231772807665,2.7497107352411096,1.9906231772789476,2.749710735236484,-3.1932786918837763,-4.2807227067768983,-3.1932786918882008,-4.2807227067867109,4.4244607977361738e-12,9.8125951808469836e-12,1.8189894035458565e-12,4.6256332097982522e-12
17,0,0,1.9232826424865077,2.6970645905151924,1.9232826424845522,2.6970645905104327,-3.0653013401497553,-4.1651977989210538,-3.0653013401543525,-4.1651977989309215,4.5972115003678482e-12,9.8676622428683913e-12,1.9555468355747507e-12,4.7597481511729711e-12
17.5,0,0,1.8577839129683715,2.6456266963292943,1.8577839129662754,2.6456266963243995,-2.9413886866867207,-4.0532387586169003,-2.9413886866913552,-4.0532387586267991,4.6345149939952535e-12,9.8987484875578957e-12,2.0961010704922955e-12,4.8947512709673902e-12
