time,reference[0],reference[1],output_ideal[0],output_ideal[1],output_secure[0],output_secure[1],control_ideal[0],control_ideal[1],control_secure[0],control_secure[1],control_error[0],control_error[1],output_error[0],output_error[1]
0,0,0,5,5,5,5,0,0,0,0,0,0,0,0
0.5,0,0,5.0634338034667685,5.0548347058967966,5.0634338034667685,5.0548347058967966,-3.8117550026606617,-4.0189319049274381,-3.8117550026606759,-4.0189319049274514,1.4210854715202004e-14,1.3322676295501878e-14,0,0
1,0,0,5.0447124218681108,5.0448223295488175,5.0447124218681099,5.0448223295488175,-6.0059239248732466,-6.3474033592085473,-6.0059239248732581,-6.3474033592085659,1.1546319456101628e-14,1.865174681370263e-14,8.8817841970012523e-16,0
1.5,0,0,4.977292752648788,4.9964335701083309,4.9772927526487871,4.99643357010833,-7.2190097378327804,-7.6502825221004711,-7.2190097378327849,-7.6502825221004924,4.4408920985006262e-15,2.1316282072803006e-14,8.8817841970012523e-16,8.8817841970012523e-16
2,0,0,4.8815212860905639,4.9257543311562433,4.881521286090563,4.9257543311562424,-7.8383683825464896,-8.3322970082790029,-7.838368382546486,-8.332297008279026,-3.5527136788005009e-15,2.3092638912203256e-14,8.8817841970012523e-16,8.8817841970012523e-16
2.5,0,0,4.7697638976520311,4.8425481039635514,4.7697638976520302,4.8425481039635505,-8.0997014892974928,-8.6397747821280841,-8.0997014892974875,-8.6397747821281072,-5.3290705182007514e-15,2.3092638912203256e-14,8.8817841970012523e-16,8.8817841970012523e-16
3,0,0,4.6495283704678556,4.7527295895429855,4.6495283704678547,4.7527295895429846,-8.1464000891186323,-8.7225956133129063,-8.1464000891186235,-8.7225956133129312,-8.8817841970012523e-15,2.4868995751603507e-14,8.8817841970012523e-16,8.8817841970012523e-16
3.5,0,0,4.5253651039704765,4.659870895471518,4.5253651039704756,4.6598708954715171,-8.0656670763861307,-8.6719141418521506,-8.0656670763861218,-8.6719141418521808,-8.8817841970012523e-15,3.0198066269804258e-14,8.8817841970012523e-16,8.8817841970012523e-16
4,0,0,4.4000241100023807,4.5661186506614744,4.4000241100023798,4.5661186506614735,-7.9105049269142045,-8.5431299110285437,-7.9105049269141956,-8.5431299110285739,-8.8817841970012523e-15,3.0198066269804258e-14,8.8817841970012523e-16,8.8817841970012523e-16
4.5,0,0,4.2751593133491408,4.4727524183493834,4.2751593133491399,4.4727524183493825,-7.713099613417187,-8.36987405774493,-7.7130996134171825,-8.369874057744962,-4.4408920985006262e-15,3.1974423109204508e-14,8.8817841970012523e-16,8.8817841970012523e-16
5,0,0,4.1517572967190208,4.3805246901591133,4.1517572967190199,4.3805246901591124,-7.492967394800969,-8.172525912040502,-7.4929673948009654,-8.1725259120405358,-3.5527136788005009e-15,3.3750779948604759e-14,8.8817841970012523e-16,8.8817841970012523e-16
