time,reference[0],reference[1],output_ideal[0],output_ideal[1],output_secure[0],output_secure[1],control_ideal[0],control_ideal[1],control_secure[0],control_secure[1],control_error[0],control_error[1],output_error[0],output_error[1]
0,0,0,5,5,5,5,0,0,0,0,0,0,0,0
0.5,0,0,5.0634338034667685,5.0548347058967966,5.0634338034667685,5.0548347058967966,-3.8117550026606617,-4.0189319049274381,-3.8117550026606621,-4.0189319049274381,4.4408920985006262e-16,0,0,0
1,0,0,5.0447124218681108,5.0448223295488175,5.0447124218681108,5.0448223295488175,-6.0059239248732466,-6.3474033592085473,-6.0059239248732466,-6.3474033592085473,0,0,0,0
1.5,0,0,4.977292752648788,4.9964335701083309,4.977292752648788,4.9964335701083309,-7.2190097378327804,-7.6502825221004711,-7.2190097378327795,-7.650282522100472,-8.8817841970012523e-16,8.8817841970012523e-16,0,0
2,0,0,4.8815212860905639,4.9257543311562433,4.8815212860905639,4.9257543311562433,-7.8383683825464896,-8.3322970082790029,-7.8383683825464887,-8.3322970082790047,-8.8817841970012523e-16,1.7763568394002505e-15,0,0
2.5,0,0,4.7697638976520311,4.8425481039635514,4.7697638976520311,4.8425481039635514,-8.0997014892974928,-8.6397747821280841,-8.0997014892974946,-8.6397747821280841,1.7763568394002505e-15,0,0,0
3,0,0,4.6495283704678556,4.7527295895429855,4.6495283704678556,4.7527295895429855,-8.1464000891186323,-8.7225956133129063,-8.1464000891186323,-8.7225956133129081,0,1.7763568394002505e-15,0,0
3.5,0,0,4.5253651039704765,4.659870895471518,4.5253651039704765,4.659870895471518,-8.0656670763861307,-8.6719141418521506,-8.0656670763861289,-8.6719141418521524,-1.7763568394002505e-15,1.7763568394002505e-15,0,0
4,0,0,4.4000241100023807,4.5661186506614744,4.4000241100023807,4.5661186506614744,-7.9105049269142045,-8.5431299110285437,-7.9105049269142036,-8.5431299110285437,-8.8817841970012523e-16,0,0,0
4.5,0,0,4.2751593133491408,4.4727524183493834,4.2751593133491408,4.4727524183493834,-7.713099613417187,-8.36987405774493,-7.7130996134171861,-8.36987405774493,-8.8817841970012523e-16,0,0,0
5,0,0,4.1517572967190208,4.3805246901591133,4.1517572967190208,4.3805246901591133,-7.492967394800969,-8.172525912040502,-7.4929673948009681,-8.172525912040502,-8.8817841970012523e-16,0,0,0
5.5,0,0,4.0303983141642616,4.2898678820769467,4.0303983141642616,4.2898678820769467,-7.2619137706616899,-7.9633987781786928,-7.2619137706616899,-7.9633987781786928,0,0,0,0
6,0,0,3.9114152047779154,4.2010203466549116,3.9114152047779154,4.2010203466549116,-7.0270520020089453,-7.7498975328240949,-7.0270520020089453,-7.7498975328240949,0,0,0,0
6.5,0,0,3.7949901564356567,4.1141030738959747,3.7949901564356567,4.1141030738959747,-6.7926404897174146,-7.5364412348796224,-6.7926404897174146,-7.5364412348796224,0,0,0,0
7,0,0,3.6812136368608517,4.029166366730105,3.6812136368608517,4.029166366730105,-6.561201190628946,-7.3256337351948142,-6.5612011906289451,-7.3256337351948142,-8.8817841970012523e-16,0,0,0
7.5,0,0,3.5701202939011543,3.9462182345897654,3.5701202939011547,3.9462182345897654,-6.3342003998064067,-7.1189763849676853,-6.3342003998064058,-7.1189763849676861,-8.8817841970012523e-16,8.8817841970012523e-16,-4.4408920985006262e-16,0
8,0,0,3.4617108349494901,3.8652416558841467,3.4617108349494905,3.8652416558841467,-6.1124631434140451,-6.9173019240273232,-6.1124631434140451,-6.917301924027325,0,1.7763568394002505e-15,-4.4408920985006262e-16,0
8.5,0,0,3.3559653699145149,3.7862050635852564,3.3559653699145153,3.7862050635852564,-5.8964254186868477,-6.7210385941873989,-5.8964254186868477,-6.7210385941873998,0,8.8817841970012523e-16,-4.4408920985006262e-16,0
9,0,0,3.2528515561760498,3.7090687052461688,3.2528515561760503,3.7090687052461688,-5.6862877297507195,-6.5303708768707276,-5.6862877297507204,-6.5303708768707276,8.8817841970012523e-16,0,-4.4408920985006262e-16,0
9.5,0,0,3.1523295777187892,3.6337884918496033,3.1523295777187896,3.6337884918496033,-5.4821085406240071,-6.3453372864095279,-5.482108540624008,-6.3453372864095279,8.8817841970012523e-16,0,-4.4408920985006262e-16,0
10,0,0,3.0543551955315666,3.5603183184850535,3.0543551955315671,3.5603183184850535,-5.2838611542951313,-6.1658898382387042,-5.2838611542951321,-6.1658898382387042,8.8817841970012523e-16,0,-4.4408920985006262e-16,0
10.5,0,0,2.9588816223786738,3.4886114553828333,2.9588816223786742,3.4886114553828333,-5.0914683278414534,-5.9919301829178933,-5.0914683278414534,-5.9919301829178933,0,0,-4.4408920985006262e-16,0
11,0,0,2.8658606804488911,3.4186213737239739,2.8658606804488915,3.4186213737239739,-4.9048233341690661,-5.8233315341115617,-4.9048233341690661,-5.8233315341115617,0,0,-4.4408920985006262e-16,0
11.5,0,0,2.7752435210615016,3.3503022280927084,2.7752435210615021,3.3503022280927084,-4.7238027726064846,-5.6599519487056789,-4.7238027726064846,-5.6599519487056789,0,0,-4.4408920985006262e-16,0
12,0,0,2.6869810764491691,3.2836091306369983,2.6869810764491695,3.2836091306369983,-4.5482743559215004,-5.5016423434438835,-4.5482743559215004,-5.5016423434438835,0,0,-4.4408920985006262e-16,0
12.5,0,0,2.6010243471885506,3.2184982991489943,2.601024347188551,3.2184982991489943,-4.3781016384785847,-5.3482513088107178,-4.3781016384785838,-5.3482513088107178,-8.8817841970012523e-16,0,-4.4408920985006262e-16,0
13,0,0,2.5173245883982132,3.1549271290951233,2.5173245883982136,3.1549271290951233,-4.2131468815514799,-5.1996279748977141,-4.2131468815514799,-5.199627974897715,0,8.8817841970012523e-16,-4.4408920985006262e-16,0
13.5,0,0,2.4358334331969869,3.0928542200304374,2.4358334331969873,3.0928542200304374,-4.0532727838914315,-5.0556236932095455,-4.0532727838914324,-5.0556236932095455,8.8817841970012523e-16,0,-4.4408920985006262e-16,0
14,0,0,2.356502976922076,3.0322393749012839,2.3565029769220764,3.0322393749012839,-3.8983435208271215,-4.9160929995270353,-3.8983435208271229,-4.9160929995270353,1.3322676295501878e-15,0,-4.4408920985006262e-16,0
14.5,0,0,2.2792858364760251,2.9730435834767817,2.2792858364760256,2.9730435834767817,-3.7482253617950194,-4.7808941409774937,-3.7482253617950203,-4.7808941409774945,8.8817841970012523e-16,8.8817841970012523e-16,-4.4408920985006262e-16,0
15,0,0,2.2041351936106115,2.9152289967278096,2.2041351936106119,2.9152289967278096,-3.6027870306593615,-4.6498893396627983,-3.6027870306593628,-4.6498893396627983,1.3322676295501878e-15,0,-4.4408920985006262e-16,0
15.5,0,0,2.13100482756753,2.8587588962807731,2.1310048275675304,2.8587588962807731,-3.4618999089346412,-4.5229448977299009,-3.4618999089346425,-4.5229448977299018,1.3322676295501878e-15,8.8817841970012523e-16,-4.4408920985006262e-16,0
16,0,0,2.0598491404301971,2.8035976614355995,2.0598491404301975,2.8035976614355995,-3.3254381429124704,-4.399931207689499,-3.3254381429124718,-4.3999312076894999,1.3322676295501878e-15,8.8817841970012523e-16,-4.4408920985006262e-16,0
16.5,0,0,1.9906231772807665,2.7497107352411096,1.990623177280767,2.7497107352411096,-3.1932786918837763,-4.2807227067768983,-3.1932786918837772,-4.2807227067768991,8.8817841970012523e-16,8.8817841970012523e-16,-4.4408920985006262e-16,0
17,0,0,1.9232826424865077,2.6970645905151924,1.9232826424865082,2.6970645905151924,-3.0653013401497553,-4.1651977989210538,-3.0653013401497562,-4.1651977989210538,8.8817841970012523e-16,0,-4.4408920985006262e-16,0
17.5,0,0,1.8577839129683715,2.6456266963292943,1.857783912968372,2.6456266963292943,-2.9413886866867207,-4.0532387586169003,-2.9413886866867207,-4.0532387586169003,0,0,-4.4408920985006262e-16,0
18,0,0,1.794084049015112,2.5953654852535717,1.7940840490151124,2.5953654852535717,-2.8214261209527631,-3.9447316253527713,-2.821426120952764,-3.9447316253527718,8.8817841970012523e-16,4.4408920985006262e-16,-4.4408920985006262e-16,0
18.5,0,0,1.7321408030277199,2.5462503215240129,1.7321408030277203,2.5462503215240129,-2.7053017900478058,-3.8395660938100349,-2.7053017900478067,-3.8395660938100349,8.8817841970012523e-16,0,-4.4408920985006262e-16,0
19,0,0,1.6719126264679081,2.4982514702113869,1.6719126264679085,2.4982514702113869,-2.5929065604412029,-3.7376354029623418,-2.5929065604412034,-3.7376354029623418,4.4408920985006262e-16,0,-4.4408920985006262e-16,0
19.5,0,0,1.6133586752146185,2.4513400674230756,1.613358675214619,2.4513400674230756,-2.4841339762623638,-3.6388362259310232,-2.4841339762623647,-3.6388362259310232,8.8817841970012523e-16,0,-4.4408920985006262e-16,0
20,0,0,1.5564388134879841,2.4054880915398367,1.5564388134879845,2.4054880915398367,-2.3788802154052822,-3.5430685616808462,-2.3788802154052835,-3.5430685616808466,1.3322676295501878e-15,4.4408920985006262e-16,-4.4408920985006262e-16,0
20.5,0,0,1.5011136164710959,2.3606683354726044,1.5011136164710963,2.3606683354726044,-2.2770440442420496,-3.450235629171571,-2.277044044242051,-3.4502356291715719,1.3322676295501878e-15,8.8817841970012523e-16,-4.4408920985006262e-16,0
21,0,0,1.4473443717403498,2.3168543799147692,1.4473443717403502,2.3168543799147692,-2.1785267714605459,-3.3602437642967771,-2.1785267714605467,-3.3602437642967766,8.8817841970012523e-16,-4.4408920985006262e-16,-4.4408920985006262e-16,0
21.5,0,0,1.3950930796014605,2.2740205675601652,1.3950930796014609,2.2740205675601652,-2.0832322013688302,-3.2730023197698772,-2.0832322013688311,-3.2730023197698781,8.8817841970012523e-16,8.8817841970012523e-16,-4.4408920985006262e-16,0
22,0,0,1.3443224524182107,2.232141978254409,1.3443224524182111,2.232141978254409,-1.9910665869014741,-3.1884235680142026,-1.9910665869014752,-3.1884235680142035,1.1102230246251565e-15,8.8817841970012523e-16,-4.4408920985006262e-16,0
22.5,0,0,1.2949959130133082,2.1911944050462622,1.2949959130133086,2.1911944050462622,-1.9019385824957307,-3.1064226070525125,-1.901938582495732,-3.1064226070525129,1.3322676295501878e-15,4.4408920985006262e-16,-4.4408920985006262e-16,0
23,0,0,1.2470775922145181,2.1511543311056696,1.2470775922145185,2.1511543311056696,-1.8157591969625277,-3.0269172693552222,-1.8157591969625291,-3.0269172693552222,1.3322676295501878e-15,0,-4.4408920985006262e-16,0
23.5,0,0,1.2005323256140286,2.1119989074756353,1.200532325614029,2.1119989074756353,-1.7324417464493103,-2.9498280335857956,-1.7324417464493114,-2.9498280335857956,1.1102230246251565e-15,0,-4.4408920985006262e-16,0
24,0,0,1.155325649604465,2.0737059316259518,1.1553256496044655,2.0737059316259518,-1.6519018075730587,-2.875077939170319,-1.6519018075730596,-2.8750779391703203,8.8817841970012523e-16,1.3322676295501878e-15,-4.4408920985006262e-16,0
24.5,0,0,1.1114237967509124,2.0362538267777817,1.1114237967509129,2.0362538267777817,-1.5740571707887969,-2.8025925036124431,-1.574057170788798,-2.8025925036124435,1.1102230246251565e-15,4.4408920985006262e-16,-4.4408920985006262e-16,0
25,0,0,1.0687936905546129,1.9996216219692051,1.0687936905546132,1.9996216219692051,-1.4988277940494759,-2.7322996424724266,-1.498827794049477,-2.7322996424724275,1.1102230246251565e-15,8.8817841970012523e-16,-2.2204460492503131e-16,0
